Year,Area,"Status (open, closed)",line,Bag Line,Bag Position,Count per bag (#)
2013,south,open,1,10,c,188
2013,south,open,1,10,d,163
2013,south,open,1,10,b,139
2013,south,open,1,10,a,73
2013,south,open,1,10,e,108
2013,south,open,2,9,c,156
2013,south,open,2,9,b,140
2013,south,open,3,7,a,60
2013,south,open,3,7,b,190
2013,south,open,3,7,c,99
2013,south,open,3,7,d,146
2013,south,open,3,7,e,18
2013,south,open,4,9,a,108
2013,south,open,4,9,d,113
2013,south,open,4,9,e,3
2013,south,open,5,8,a,103
2013,south,open,5,8,b,111
2013,south,open,5,8,c,84
2013,south,open,5,8,d,116
2013,south,open,5,8,e,92
2013,south,open,6,NA,NA,NA
2013,north,open,7,1,a,81
2013,north,open,7,1,e,27
2013,north,open,7,1,b,99
2013,north,open,7,1,c,114
2013,north,open,7,1,d,88
2013,north,open,8,NA,NA,NA
2013,north,open,9,NA,NA,NA
2013,closure,closed,10,5,c,42
2013,closure,closed,10,5,b,83
2013,closure,closed,10,5,d,13
2013,closure,closed,10,5,a,12
2013,closure,closed,11,NA,NA,NA
2013,closure,closed,12,NA,NA,NA
2014,south,open,1,13,a,1113
2014,south,open,1,13,b,1136
2014,south,open,1,13,c,1199
2014,south,open,1,13,d,640
2014,south,open,1,13,e,611
2014,south,open,2,4,a,1556
2014,south,open,2,4,b,1428
2014,south,open,2,4,c,1240
2014,south,open,2,4,d,834
2014,south,open,2,4,e,677
2014,south,open,3,12,a,444
2014,south,open,3,12,b,257
2014,south,open,3,12,c,577
2014,south,open,3,12,d,415
2014,south,open,3,12,e,405
2014,south,open,4,NA,NA,NA
2014,south,open,5,NA,NA,NA
2014,south,open,6,NA,NA,NA
2014,north,open,7,1,a,580
2014,north,open,7,1,b,70
2014,north,open,7,1,c,0
2014,north,open,7,1,d,112
2014,north,open,7,1,e,150
2014,north,open,8,NA,NA,NA
2014,north,open,9,NA,NA,NA
2014,closure,closed,10,11,a,761
2014,closure,closed,10,11,b,614
2014,closure,closed,10,11,c,576
2014,closure,closed,10,11,d,501
2014,closure,closed,10,11,e,225
2014,closure,closed,11,NA,NA,NA
2014,closure,closed,12,NA,NA,NA
2015,south,open,1,NA,NA,NA
2015,south,open,2,NA,NA,NA
2015,south,open,3,NA,NA,NA
2015,south,open,4,NA,NA,NA
2015,south,open,5,NA,NA,NA
2015,south,open,6,NA,NA,NA
2015,north,open,7,1,a,37
2015,north,open,7,1,b,105
2015,north,open,7,1,c,113
2015,north,open,7,1,e,75
2015,north,open,8,NA,NA,NA
2015,north,open,9,NA,NA,NA
2015,closure,closed,10,7,c,622
2015,closure,closed,10,7,d,1015
2015,closure,closed,10,7,e,1087
2015,closure,closed,10,7,a,559
2015,closure,closed,10,7,b,396
2015,closure,closed,11,11,a,378
2015,closure,closed,11,11,e,301
2015,closure,closed,11,11,c,242
2015,closure,closed,11,11,b,421
2015,closure,closed,12,2,c,410
2015,closure,closed,12,2,b,372
2015,closure,closed,12,2,a,432
2015,closure,closed,12,2,d,116
2015,closure,closed,12,2,e,128
2016,south,open,1,4,b,460
2016,south,open,1,4,c,135
2016,south,open,1,4,d,160
2016,south,open,1,4,e,27
2016,south,open,2,NA,NA,NA
2016,south,open,3,NA,NA,NA
2016,south,open,4,NA,NA,NA
2016,south,open,5,NA,NA,NA
2016,south,open,6,NA,NA,NA
2016,north,open,7,1,a,201
2016,north,open,7,1,c,38
2016,north,open,7,1,b,56
2016,north,open,7,1,d,56
2016,north,open,7,1,e,52
2016,north,open,8,5,a,192
2016,north,open,8,5,b,141
2016,north,open,8,5,c,133
2016,north,open,8,5,d,30
2016,north,open,8,5,e,19
2016,north,open,9,NA,NA,NA
2016,closure,closed,10,11,a,676
2016,closure,closed,10,11,b,442
2016,closure,closed,10,11,c,321
2016,closure,closed,10,11,d,415
2016,closure,closed,10,11,e,0
2016,closure,closed,11,7,a,481
2016,closure,closed,11,7,b,476
2016,closure,closed,11,7,c,472
2016,closure,closed,11,7,d,183
2016,closure,closed,11,7,e,141
2016,closure,closed,12,NA,NA,NA
2017,south,open,1,3,a,43
2017,south,open,1,3,b,54
2017,south,open,1,3,c,36
2017,south,open,1,3,d,24
2017,south,open,1,3,e,55
2017,south,open,2,NA,NA,NA
2017,south,open,3,NA,NA,NA
2017,south,open,4,NA,NA,NA
2017,south,open,5,NA,NA,NA
2017,south,open,6,NA,NA,NA
2017,north,open,7,10,b,69
2017,north,open,7,10,c,59
2017,north,open,7,10,d,27
2017,north,open,8,NA,NA,NA
2017,north,open,9,NA,NA,NA
2017,closure,closed,10,11,c,49
2017,closure,closed,10,11,d,164
2017,closure,closed,10,11,e,114
2017,closure,closed,11,7,b,155
2017,closure,closed,11,7,e,123
2017,closure,closed,12,NA,NA,NA