Year,Site,Area,"Status (open, closed)",Bag Line,Bag Position,Count per bag (#)
2013,MR,south,open,10,c,188
2013,MR,south,open,10,d,163
2013,MR,south,open,10,b,139
2013,MR,south,open,10,a,73
2013,MR,south,open,10,e,108
2013,MR,south,open,9,c,156
2013,MR,south,open,9,b,140
2013,MR,south,open,7,d,146
2013,MR,south,open,7,b,190
2013,MR,south,open,7,c,99
2013,MR,south,open,7,a,60
2013,MR,south,open,9,d,113
2013,MR,south,open,7,e,18
2013,MR,south,open,9,a,108
2013,MR,south,open,9,e,3
2013,MR,south,open,8,e,92
2013,MR,south,open,8,d,116
2013,MR,south,open,8,c,84
2013,MR,south,open,8,b,111
2013,MR,south,open,8,a,103
2013,MR,north,open,1,a,81
2013,MR,north,open,1,e,27
2013,MR,north,open,1,b,99
2013,MR,north,open,1,c,114
2013,MR,north,open,1,d,88
2013,MR,closure,closed,5,c,42
2013,MR,closure,closed,5,b,83
2013,MR,closure,closed,5,d,13
2013,MR,closure,closed,5,a,12
2014,MR,closure,closed,11,a,761
2014,MR,closure,closed,11,b,614
2014,MR,closure,closed,11,c,576
2014,MR,closure,closed,11,d,501
2014,MR,closure,closed,11,e,225
2014,MR,south,open,13,a,1113
2014,MR,south,open,13,b,1136
2014,MR,south,open,13,c,1199
2014,MR,south,open,13,d,640
2014,MR,south,open,13,e,611
2014,MR,south,open,4,a,1556
2014,MR,south,open,4,b,1428
2014,MR,south,open,4,c,1240
2014,MR,south,open,4,d,834
2014,MR,south,open,4,e,677
2014,MR,south,open,12,a,444
2014,MR,south,open,12,b,257
2014,MR,south,open,12,c,577
2014,MR,south,open,12,d,415
2014,MR,south,open,12,e,405
2014,MR,north,open,1,a,580
2014,MR,north,open,1,b,70
2014,MR,north,open,1,c,0
2014,MR,north,open,1,d,112
2014,MR,north,open,1,e,150
2015,MR,closure,closed,7,c,622
2015,MR,closure,closed,7,d,1015
2015,MR,closure,closed,7,e,1087
2015,MR,closure,closed,7,a,559
2015,MR,closure,closed,7,b,396
2015,MR,closure,closed,11,a,378
2015,MR,closure,closed,11,e,301
2015,MR,closure,closed,11,c,242
2015,MR,closure,closed,11,b,421
2015,MR,closure,closed,2,c,410
2015,MR,closure,closed,2,b,372
2015,MR,closure,closed,2,a,432
2015,MR,closure,closed,2,d,116
2015,MR,closure,closed,2,e,128
2015,MR,north,open,1,a,37
2015,MR,north,open,1,b,105
2015,MR,north,open,1,c,113
2015,MR,north,open,1,e,75
2016,MR,closure,closed,11,a,676
2016,MR,closure,closed,11,b,442
2016,MR,closure,closed,11,c,321
2016,MR,closure,closed,11,d,415
2016,MR,north,open,1,a,201
2016,MR,closure,closed,7,a,481
2016,MR,north,open,1,c,38
2016,MR,north,open,1,b,56
2016,MR,closure,closed,11,e,0
2016,MR,closure,closed,7,c,472
2016,MR,closure,closed,7,b,476
2016,MR,closure,closed,7,d,183
2016,MR,closure,closed,7,e,141
2016,MR,north,open,1,d,56
2016,MR,north,open,1,e,52
2016,MR,north,open,5,a,192
2016,MR,north,open,5,b,141
2016,MR,north,open,5,c,133
2016,MR,north,open,5,d,30
2016,MR,north,open,5,e,19
2016,MR,south,open,4,b,460
2016,MR,south,open,4,c,135
2016,MR,south,open,4,d,160
2016,MR,south,open,4,e,27
2017,MR,south,open,3,a,43
2017,MR,south,open,3,b,54
2017,MR,south,open,3,c,36
2017,MR,south,open,3,d,24
2017,MR,south,open,3,e,55
2017,MR,closure,closed,11,c,49
2017,MR,closure,closed,11,d,164
2017,MR,closure,closed,11,e,114
2017,MR,closure,closed,7,2,155
2017,MR,closure,closed,7,5,123
2017,MR,north,open,10,2,69
2017,MR,north,open,10,3,59
2017,MR,north,open,10,4,27
2018,MR,south,open,3,a,43
2018,MR,south,open,3,b,54
2018,MR,south,open,3,c,36
2018,MR,south,open,3,d,24
2018,MR,south,open,3,e,55
2018,MR,closure,closed,11,c,49
2018,MR,closure,closed,11,d,164
2018,MR,closure,closed,11,e,114
2018,MR,closure,closed,7,2,155
2018,MR,closure,closed,7,5,123
2018,MR,north,open,10,2,69
2018,MR,north,open,10,3,59
2018,MR,north,open,10,4,27